sub_id,trust_run1_ok,trust_run2_ok,trust_valid_runs,ugr_run1_ok,ugr_run2_ok,ugr_valid_runs
10317,1,0,run1,1,1,both
10369,1,0,run1,1,1,both
10402,1,1,both,1,1,both
10418,1,1,both,1,1,both
10462,1,0,run1,1,1,both
10478,1,1,both,1,1,both
10486,1,0,run1,1,0,run1
10529,1,1,both,1,1,both
10541,1,1,both,1,1,both
10559,1,1,both,1,1,both
10572,1,1,both,1,0,run1
10581,1,1,both,1,1,both
10584,1,1,both,1,0,run1
10585,1,1,both,1,1,both
10589,1,1,both,1,1,both
10590,1,1,both,1,1,both
10596,1,1,both,1,1,both
10603,1,1,both,1,0,run1
10606,1,1,both,1,1,both
10608,1,0,run1,1,1,both
10617,1,0,run1,1,0,run1
10636,1,1,both,1,1,both
10638,1,1,both,1,1,both
10640,1,1,both,1,1,both
10641,1,0,run1,1,0,run1
10642,1,1,both,1,1,both
10644,1,1,both,1,1,both
10647,1,1,both,1,1,both
10649,1,1,both,1,1,both
10652,1,1,both,1,1,both
10656,1,1,both,1,1,both
10657,1,1,both,1,1,both
10661,1,1,both,1,1,both
10663,1,1,both,1,1,both
10668,1,0,run1,1,0,run1
10673,1,1,both,1,1,both
10674,1,1,both,1,1,both
10677,1,1,both,1,1,both
10685,1,1,both,1,1,both
10690,1,0,run1,1,0,run1
10691,1,1,both,1,1,both
10700,1,1,both,1,1,both
10701,1,1,both,1,1,both
10713,1,1,both,1,0,run1
10716,1,1,both,1,1,both
10718,1,1,both,1,1,both
10720,1,1,both,1,1,both
10723,1,1,both,1,1,both
10741,1,1,both,1,1,both
10748,1,1,both,1,1,both
10767,1,1,both,1,1,both
10770,1,1,both,1,1,both
10777,1,0,run1,1,0,run1
10781,1,1,both,1,1,both
10783,1,1,both,1,1,both
10785,1,1,both,1,1,both
10794,1,1,both,1,1,both
10800,1,1,both,1,1,both
10801,1,1,both,1,1,both
10802,1,1,both,1,1,both
10803,1,0,run1,1,0,run1
10804,1,1,both,1,1,both
10806,1,1,both,1,1,both
10807,1,1,both,1,1,both
10809,1,1,both,1,1,both
10810,1,1,both,1,1,both
10812,1,1,both,1,1,both
10817,1,1,both,1,1,both
10827,1,1,both,1,1,both
10831,1,1,both,1,1,both
10834,1,1,both,1,1,both
10836,0,1,run2,1,1,both
10838,1,1,both,1,1,both
10843,1,1,both,1,1,both
10850,1,1,both,1,1,both
10854,1,1,both,1,1,both
10857,1,1,both,1,1,both
10858,1,1,both,1,1,both
10860,1,1,both,1,1,both
10862,1,1,both,1,1,both
10863,1,1,both,1,1,both
10866,1,1,both,1,1,both
10875,1,1,both,1,1,both
10881,1,0,run1,1,0,run1
10886,1,0,run1,1,1,both
10887,1,1,both,1,1,both
10896,1,1,both,1,1,both
10897,1,0,run1,1,1,both
10898,1,1,both,1,1,both
10908,1,1,both,1,1,both
10918,1,1,both,1,1,both
10919,1,1,both,1,1,both
10924,1,1,both,1,1,both
10926,1,0,run1,1,1,both
10928,1,0,run1,1,1,both
10929,1,0,run1,1,1,both
10930,1,1,both,1,1,both
10938,1,1,both,1,1,both
10940,1,1,both,1,1,both
10950,1,1,both,1,1,both
10952,1,0,run1,1,1,both
10953,1,1,both,1,1,both
10954,1,1,both,1,1,both
10956,1,1,both,1,1,both
10958,1,1,both,1,1,both
10961,1,1,both,1,1,both
10964,1,1,both,1,1,both
10966,1,1,both,1,1,both
10969,1,1,both,1,1,both
10974,1,0,run1,1,1,both
10977,1,0,run1,1,1,both
10983,1,1,both,1,1,both
10984,1,1,both,1,1,both
10998,1,1,both,1,1,both
11005,1,1,both,1,1,both
11007,1,1,both,1,1,both
11012,1,1,both,1,1,both
11016,1,1,both,1,1,both
11021,1,1,both,1,1,both
11030,1,1,both,1,1,both
11031,1,1,both,1,1,both
11036,1,1,both,1,1,both
11039,1,1,both,1,1,both
11042,1,1,both,1,1,both
11053,1,1,both,1,1,both
11058,1,1,both,1,1,both
11060,1,1,both,1,1,both
11063,1,1,both,1,1,both
11064,1,1,both,1,1,both
11065,1,1,both,1,1,both
11066,1,1,both,1,1,both
11068,1,1,both,1,1,both
11071,1,1,both,1,1,both
11072,1,1,both,1,1,both
11074,1,1,both,1,1,both
11075,1,1,both,1,1,both
11076,1,0,run1,1,1,both
11078,1,1,both,1,1,both
11083,1,1,both,1,1,both
11084,1,1,both,1,1,both
11090,1,1,both,1,1,both
11113,1,1,both,1,1,both
11116,1,1,both,1,1,both
11120,1,1,both,1,1,both
11126,1,1,both,1,1,both
11128,1,1,both,1,1,both
11134,1,1,both,1,1,both
11139,1,1,both,1,1,both
11164,1,0,run1,1,1,both
11167,1,1,both,1,1,both
11168,1,1,both,1,1,both
11177,1,1,both,1,1,both
11192,1,1,both,1,1,both
11193,1,1,both,1,1,both
11201,0,0,none,1,1,both
11209,1,1,both,1,1,both
11227,1,1,both,1,1,both
11238,1,1,both,1,1,both
11246,1,1,both,1,1,both
11276,1,1,both,1,1,both
11286,1,0,run1,1,1,both
11301,1,1,both,1,0,run1
11311,1,1,both,1,1,both
11312,1,1,both,1,1,both
11316,1,1,both,1,1,both
11318,1,1,both,1,1,both
11321,1,1,both,1,1,both
11325,1,1,both,1,1,both
11326,1,1,both,1,1,both
11329,1,1,both,1,1,both
11330,1,1,both,1,1,both
11337,1,1,both,1,1,both
11338,1,1,both,1,1,both
11340,1,1,both,1,1,both
11345,1,1,both,1,1,both
11348,1,1,both,1,1,both
11358,1,1,both,1,1,both
11364,1,1,both,1,1,both
11367,1,1,both,1,1,both
11374,1,1,both,1,0,run1
11376,1,1,both,1,1,both
11377,1,1,both,1,1,both
11387,1,1,both,1,1,both
11410,1,1,both,1,1,both
11416,1,0,run1,1,1,both
11426,1,0,run1,1,0,run1
11430,1,1,both,1,0,run1
11432,0,0,none,1,1,both
11433,1,1,both,1,1,both
11435,1,1,both,1,1,both
11439,1,1,both,1,0,run1
11440,1,1,both,1,1,both
11443,1,1,both,1,0,run1
11450,0,1,run2,1,1,both
11451,1,1,both,1,1,both
11461,1,1,both,1,1,both
11462,1,0,run1,1,0,run1
11472,1,1,both,1,1,both
11492,1,1,both,1,1,both
11493,1,1,both,1,1,both
11498,1,0,run1,1,0,run1
11517,1,1,both,1,1,both
11518,1,1,both,1,1,both
11523,1,1,both,1,1,both
11526,1,1,both,1,1,both
11527,1,1,both,1,1,both
11529,1,0,run1,1,1,both
11530,1,1,both,1,1,both
11532,1,1,both,1,1,both
11533,1,1,both,1,1,both
11534,1,1,both,1,1,both
11535,1,1,both,1,1,both
11536,1,1,both,1,1,both
11539,1,1,both,1,1,both
11540,1,1,both,1,1,both
11542,1,1,both,1,1,both
11545,1,1,both,1,1,both
11551,1,1,both,1,1,both
11559,1,1,both,1,1,both
11560,1,1,both,1,1,both
11563,1,1,both,1,1,both
11565,1,1,both,1,1,both
11570,1,1,both,1,1,both
11572,1,1,both,1,1,both
11579,1,1,both,1,1,both
